"","lower","r","upper","p"
"Group-O___1",-0.141478482540245,-0.00999151082216968,0.121841888660099,0.88231637742987
"Group-I__20",-0.085851937280896,0.046345068169967,0.176938422016089,0.492084609441094
"Group-Mz_cr",-0.125403282743609,0.00637508689850527,0.137932405329748,0.924750595705543
"Group-O__S_",-0.11345620650002,0.0184931680363827,0.149801496163171,0.784076994920952
"Group-N__B__S_2012",-0.116770612650791,0.0151352020698131,0.146516312536223,0.822563389986772
"Group-A__M__S_2012",-0.14160263900295,-0.01011819264208,0.121717072943361,0.880835271934652
"Group-N__B__S_2013",0.167783695472298,0.292984019474844,0.408883179870674,9.05847077385408e-06
"Group-A__M__S_2013",-0.00390098573009066,0.127837781453594,0.255214903392275,0.0571976194152108
"O___1-I__20",0.429503104765551,0.531138213512405,0.619486524674787,1.46790851282344e-17
"O___1-Mz_cr",0.121193805254253,0.248895049603922,0.368491655080168,0.00017921215286472
"O___1-O__S_",0.330506525541525,0.442904928506414,0.542915900075128,4.41183115836546e-12
"O___1-N__B__S_2012",0.122219785087287,0.249871688121478,0.369391306881402,0.000168671666612054
"O___1-A__M__S_2012",-0.183570075898014,-0.0531824592808272,0.0790441659357898,0.430412674041831
"O___1-N__B__S_2013",0.108933099871121,0.237203855005296,0.357704637274151,0.0003634050087652
"O___1-A__M__S_2013",-0.164079624656428,-0.0331221212058327,0.0989826738655441,0.623527438238655
"I__20-Mz_cr",0.570835078250549,0.653396528702182,0.722877083512883,2.06805855208759e-28
"I__20-O__S_",0.815782715507527,0.855554976225493,0.887273539778428,7.88277347416559e-65
"I__20-N__B__S_2012",0.266471194975476,0.38464811500533,0.491431298297333,3.05827193724525e-09
"I__20-A__M__S_2012",-0.0407319464164923,0.0914315311572763,0.22045061273315,0.174637133212099
"I__20-N__B__S_2013",0.305137468365936,0.419938130056878,0.522708308624297,6.76327904332115e-11
"I__20-A__M__S_2013",-0.0438470588837228,0.0883360500647838,0.217479543397442,0.189752289622322
"Mz_cr-O__S_",0.32786094566193,0.440516734758232,0.540820002984042,5.91682452957845e-12
"Mz_cr-N__B__S_2012",0.0129352501083458,0.144362471089961,0.270886388018528,0.0315484916213302
"Mz_cr-A__M__S_2012",-0.0950623460348778,0.0370748279798722,0.167928146152377,0.582680893350393
"Mz_cr-N__B__S_2013",0.0744141150537694,0.204087499553016,0.326973887149756,0.00224388048793589
"Mz_cr-A__M__S_2013",-0.0884527609383084,0.0437296544460796,0.174398566817448,0.516862635974846
"O__S_-N__B__S_2012",0.205298730653405,0.328102462304948,0.440734820616364,5.7292722350868e-07
"O__S_-A__M__S_2012",0.00394742469986225,0.135550072566552,0.262537330572198,0.0436360210995418
"O__S_-N__B__S_2013",0.191220920461698,0.314963662720081,0.428851338603828,1.67778854268211e-06
"O__S_-A__M__S_2013",0.00168671458993765,0.133330205307064,0.260431177759437,0.0472303790854259
"N__B__S_2012-A__M__S_2012",-0.0205693430852062,0.111405493490621,0.239564400353876,0.0977842508128766
"N__B__S_2012-N__B__S_2013",0.775169423811011,0.82285460967089,0.861216754839118,6.50117038407061e-56
"N__B__S_2012-A__M__S_2013",-0.0344458945862127,0.0976702008448374,0.226431275417347,0.146916865022993
"A__M__S_2012-N__B__S_2013",-0.0487823613459672,0.0834266176036126,0.212762515207622,0.215652667433866
"A__M__S_2012-A__M__S_2013",0.84207413043961,0.876556006203866,0.903901803147186,8.28575548702702e-72
"N__B__S_2013-A__M__S_2013",-0.0184772406029433,0.113471934256382,0.24153619592857,0.0916800967416772
